수원시 장안구,수원시 권선구,수원시 팔달구,수원시 영통구,성남시 수정구,성남시 중원구,성남시 분당구,의정부시,안양시 만안구,안양시 동안구,부천시 원미구,부천시 소사구,부천시 오정구,광명시,평택시,동두천시,안산시 상록구,안산시 단원구,고양시 일산동구,고양시 일산서구,고양시 덕양구,과천시,구리시,남양주시,오산시,시흥시
,고천동,천현동,김량장동,신갈동,풍덕천동,금촌동,창전동,봉산동,북변동,새솔동,배양동,진안동,능동,경안동,고암동,신읍동,오학동,전곡읍,가평읍,옥천면,,,,,
,이동,하산곡동,역북동,구갈동,죽전동,아동동,관고동,숭인동,걸포동,우정읍,기안동,병점동,반송동,쌍령동,고읍동,어룡동,천송동,연천읍,설악면,양서면,,,,,
,삼동,창우동,삼가동,상갈동,동천동,야동동,중리동,영동,운양동,향남읍,봉담읍,능동,석우동,송정동,광사동,자작동,하동,,청평면,양평읍,,,,,
,왕곡동,배알미동,남동,하갈동,고기동,검산동,증일동,봉남동,장기동,남양읍,매송면,기산동,청계동,회덕동,만송동,선단동,현암동,,상면,지평면,,,,,
,오전동,상산곡동,유방동,보라동,신봉동,맥금동,율현동,구포동,감정동,마도면,비봉면,반월동,영천동,탄벌동,삼숭동,설운동,홍문동,,조종면,양동면,,,,,
,학의동,신장동,고림동,지곡동,성복동,교하동,진리동,동본동,사우동,송산면,정남면,반정동,중동,목현동,옥정동,동교동,,,북면,청운면,,,,,
,내손동,당정동,마평동,공세동,상현동,야당동,안흥동,명륜동,풍무동,서신면,기배동,황계동,신동,삼동중,덕계동,소흘읍,,,,,,,,,
,청계동,덕풍동,운학동,고매동,풍덕천1동,다율동,갈산동,옥천동,마산동,팔탄면,,송산동,목동,대동,,군내면,,,,,,,,,
,포일동,망월동,호동,농서동,풍덕천2동,오도동,증포동,낙원동,구래동,장안면,,안녕동,산척동,직동,,내촌면,,,,,,,,,
,월암동,풍산동,해곡동,서천동,죽전1동,상지석동,송정동,창전동,통진읍,양감면,,병점1동,장지동,태전동,,가산면,,,,,,,,,
,초평동,미사동,포곡읍,영덕동,죽전2동,산남동,사음동,성남동,고촌읍,,,병점2동,송동,장지동,,신북면,,,,,,,,,
,부곡동,선동,모현읍,언남동,죽전3동,동패동,단월동,신흥동,양촌읍,,,화산동,방교동,역동,,창수면,,,,,,,,,
,내손1동,감북동,이동읍,마북동,상현1동,당하동,대포동,인지동,대곶면,,,,금곡동,목동,,영중면,,,,,,,,,
,내손2동,감일동,남사읍,청덕동,상현2동,문발동,고담동,금산동,월곶면,,,,여울동,고산동,,일동면,,,,,,,,,
,,감이동,양지읍,동백동,상현3동,송촌동,장록동,연지동,하성면,,,,동탄1동,신현동,,이동면,,,,,,,,,
,,학암동,원삼면,중동,,목동동,장호원읍,대천동,김포본동,,,,동탄2동,능평동,,영북면,,,,,,,,,
,,교산동,백암면,상하동,,하지석동,부발읍,서인동,장기본동,,,,동탄3동,문형동,,관인면,,,,,,,,,
,,춘궁동,중앙동,보정동,,서패동,신둔면,석정동,,,,,동탄4동,추자동,,화현면,,,,,,,,,
,,하사창동,유림1동,영덕1동,,신촌동,백사면,아양동,,,,,동탄5동,매산동,,포천동,,,,,,,,,
,,상사창동,유림2동,영덕2동,,연다산동,호법면,금석동,,,,,동탄6동,양벌동,,,,,,,,,,,
,,항동,동부동,기흥동,,와동동,마장면,계동,,,,,동탄7동,초월읍,,,,,,,,,,,
,,초일동,,서농동,,금릉동,대월면,옥산동,,,,,동탄8동,곤지암읍,,,,,,,,,,,
,,초이동,,구성동,,문산읍,모가면,사곡동,,,,,동탄9동,도척면,,,,,,,,,,,
,,광암동,,동백1동,,파주읍,설성면,도기동,,,,,,퇴촌면,,,,,,,,,,,
,,신장1동,,동백2동,,법원읍,율면,당왕동,,,,,,남종면,,,,,,,,,,,
,,신장2동,,동백3동,,조리읍,,가사동,,,,,,남한산성면,,,,,,,,,,,
,,덕풍1동,,,,월롱면,,가현동,,,,,,광남1동,,,,,,,,,,,
,,덕풍2동,,,,탄현면,,신건지동,,,,,,광남2동,,,,,,,,,,,
,,덕풍3동,,,,광탄면,,신소현동,,,,,,오포1동,,,,,,,,,,,
,,위례동,,,,파평면,,신모산동,,,,,,오포2동,,,,,,,,,,,
,,미사1동,,,,적성면,,현수동,,,,,,,,,,,,,,,,,
,,미사2동,,,,군내면,,발화동,,,,,,,,,,,,,,,,,
,,미사3동,,,,장단면,,중리동,,,,,,,,,,,,,,,,,
,,,,,,진동면,,공도읍,,,,,,,,,,,,,,,,,
,,,,,,진서면,,보개면,,,,,,,,,,,,,,,,,
,,,,,,금촌1동,,금광면,,,,,,,,,,,,,,,,,
,,,,,,금촌2동,,서운면,,,,,,,,,,,,,,,,,
,,,,,,금촌3동,,미양면,,,,,,,,,,,,,,,,,
,,,,,,운정1동,,대덕면,,,,,,,,,,,,,,,,,
,,,,,,운정2동,,양성면,,,,,,,,,,,,,,,,,
,,,,,,운정3동,,원곡면,,,,,,,,,,,,,,,,,
,,,,,,운정4동,,일죽면,,,,,,,,,,,,,,,,,
,,,,,,운정5동,,죽산면,,,,,,,,,,,,,,,,,
,,,,,,운정6동,,삼죽면,,,,,,,,,,,,,,,,,
,,,,,,,,고삼면,,,,,,,,,,,,,,,,,
,,,,,,,,안성1동,,,,,,,,,,,,,,,,,
,,,,,,,,안성2동,,,,,,,,,,,,,,,,,
,,,,,,,,안성3동,,,,,,,,,,,,,,,,,
